Cliente	Fim de Mês	Data	Código
Pedro	30/09/2064	01/10/2064	769190
Pedro	31/10/2064	01/11/2064	575126
Pedro	30/11/2064	01/12/2064	274233
Pedro	31/12/2064	01/01/2065	777686
Pedro	31/01/2065	01/02/2065	422995
Pedro	28/02/2065	01/03/2065	693793
Pedro	31/03/2065	01/04/2065	931837
Pedro	30/04/2065	01/05/2065	124475
Pedro	31/05/2065	01/06/2065	112215
Pedro	30/06/2065	01/07/2065	400957
Pedro	31/07/2065	01/08/2065	812272
Pedro	31/08/2065	01/09/2065	536059
Pedro	30/09/2065	01/10/2065	126355
Pedro	31/10/2065	01/11/2065	655202
Pedro	30/11/2065	01/12/2065	480854
Pedro	31/12/2065	01/01/2066	434969
Pedro	31/01/2066	01/02/2066	606814
Pedro	28/02/2066	01/03/2066	200246
Pedro	31/03/2066	01/04/2066	342930
Pedro	30/04/2066	01/05/2066	819003
Pedro	31/05/2066	01/06/2066	814469
Pedro	30/06/2066	01/07/2066	940978
Pedro	31/07/2066	01/08/2066	602115
Pedro	31/08/2066	01/09/2066	989366
Pedro	30/09/2066	01/10/2066	734891
Pedro	31/10/2066	01/11/2066	444286
Pedro	30/11/2066	01/12/2066	509615
Pedro	31/12/2066	01/01/2067	693764
Pedro	31/01/2067	01/02/2067	558475
Pedro	28/02/2067	01/03/2067	487833
Pedro	31/03/2067	01/04/2067	627107
Pedro	30/04/2067	01/05/2067	401434
Pedro	31/05/2067	01/06/2067	546176
Pedro	30/06/2067	01/07/2067	792027
Pedro	31/07/2067	01/08/2067	885197
Pedro	31/08/2067	01/09/2067	577639
Pedro	30/09/2067	01/10/2067	503161
Pedro	31/10/2067	01/11/2067	830921
Pedro	30/11/2067	01/12/2067	414093
Pedro	31/12/2067	01/01/2068	646976
Pedro	31/01/2068	01/02/2068	405781
Pedro	29/02/2068	01/03/2068	386788
Pedro	31/03/2068	01/04/2068	703636
Pedro	30/04/2068	01/05/2068	215879
Pedro	31/05/2068	01/06/2068	900526
Pedro	30/06/2068	01/07/2068	865492
Pedro	31/07/2068	01/08/2068	743373
Pedro	31/08/2068	01/09/2068	146132
Pedro	30/09/2068	01/10/2068	855437
Pedro	31/10/2068	01/11/2068	191987
Pedro	30/11/2068	01/12/2068	479072
Pedro	31/12/2068	01/01/2069	799015
Pedro	31/01/2069	01/02/2069	894764
Pedro	28/02/2069	01/03/2069	205700
Pedro	31/03/2069	01/04/2069	684486
Pedro	30/04/2069	01/05/2069	642801
Pedro	31/05/2069	01/06/2069	546765
Pedro	30/06/2069	01/07/2069	914424
Pedro	31/07/2069	01/08/2069	834874
Pedro	31/08/2069	01/09/2069	602659
Pedro	30/09/2069	01/10/2069	249439
Pedro	31/10/2069	01/11/2069	932953
Pedro	30/11/2069	01/12/2069	881655
Pedro	31/12/2069	01/01/2070	398103
Pedro	31/01/2070	01/02/2070	548593
Pedro	28/02/2070	01/03/2070	415131
Pedro	31/03/2070	01/04/2070	491420
Pedro	30/04/2070	01/05/2070	105615
Pedro	31/05/2070	01/06/2070	532447
Pedro	30/06/2070	01/07/2070	662291
Pedro	31/07/2070	01/08/2070	779958
Pedro	31/08/2070	01/09/2070	489556
Pedro	30/09/2070	01/10/2070	450230
Pedro	31/10/2070	01/11/2070	118273
Pedro	30/11/2070	01/12/2070	343549
Pedro	31/12/2070	01/01/2071	188843
Pedro	31/01/2071	01/02/2071	318975
Pedro	28/02/2071	01/03/2071	137844
Pedro	31/03/2071	01/04/2071	851231
Pedro	30/04/2071	01/05/2071	331004
Pedro	31/05/2071	01/06/2071	336980
Pedro	30/06/2071	01/07/2071	546075
Pedro	31/07/2071	01/08/2071	644297
Pedro	31/08/2071	01/09/2071	832966
Pedro	30/09/2071	01/10/2071	231866
Pedro	31/10/2071	01/11/2071	955554
Pedro	30/11/2071	01/12/2071	624655
Pedro	31/12/2071	01/01/2072	353639
Pedro	31/01/2072	01/02/2072	954469
Pedro	29/02/2072	01/03/2072	135742
Pedro	31/03/2072	01/04/2072	720615
Pedro	30/04/2072	01/05/2072	323697
Pedro	31/05/2072	01/06/2072	494699
Pedro	30/06/2072	01/07/2072	808975
Pedro	31/07/2072	01/08/2072	505988
Pedro	31/08/2072	01/09/2072	336096
Pedro	30/09/2072	01/10/2072	493293
Pedro	31/10/2072	01/11/2072	601277
Pedro	30/11/2072	01/12/2072	136631
Pedro	31/12/2072	01/01/2073	206777
Pedro	31/01/2073	01/02/2073	605395
Pedro	28/02/2073	01/03/2073	187089
Pedro	31/03/2073	01/04/2073	806163
Pedro	30/04/2073	01/05/2073	374999
Pedro	31/05/2073	01/06/2073	573783
Pedro	30/06/2073	01/07/2073	670973
Pedro	31/07/2073	01/08/2073	320479
Pedro	31/08/2073	01/09/2073	953012
Pedro	30/09/2073	01/10/2073	543444
Pedro	31/10/2073	01/11/2073	837869
Pedro	30/11/2073	01/12/2073	830139
Pedro	31/12/2073	01/01/2074	715276
Pedro	31/01/2074	01/02/2074	868589
Pedro	28/02/2074	01/03/2074	732161
Pedro	31/03/2074	01/04/2074	936240
Pedro	30/04/2074	01/05/2074	522009
Pedro	31/05/2074	01/06/2074	722949
Pedro	30/06/2074	01/07/2074	832909
Pedro	31/07/2074	01/08/2074	472595
Pedro	31/08/2074	01/09/2074	305529
Pedro	30/09/2074	01/10/2074	988934
Pedro	31/10/2074	01/11/2074	399655
Pedro	30/11/2074	01/12/2074	296746
Pedro	31/12/2074	01/01/2075	212636
Pedro	31/01/2075	01/02/2075	476101
Pedro	28/02/2075	01/03/2075	883510
Pedro	31/03/2075	01/04/2075	167258
Pedro	30/04/2075	01/05/2075	867956
Pedro	31/05/2075	01/06/2075	248669
Pedro	30/06/2075	01/07/2075	761731
Pedro	31/07/2075	01/08/2075	987900
Pedro	31/08/2075	01/09/2075	220400
Pedro	30/09/2075	01/10/2075	123969
Pedro	31/10/2075	01/11/2075	350889
Pedro	30/11/2075	01/12/2075	481041
Pedro	31/12/2075	01/01/2076	130447
Pedro	31/01/2076	01/02/2076	219921
Pedro	29/02/2076	01/03/2076	523754
Pedro	31/03/2076	01/04/2076	662314
Pedro	30/04/2076	01/05/2076	307629
Pedro	31/05/2076	01/06/2076	153498
Pedro	30/06/2076	01/07/2076	343519
Pedro	31/07/2076	01/08/2076	967389
Pedro	31/08/2076	01/09/2076	460505
Pedro	30/09/2076	01/10/2076	529317
Pedro	31/10/2076	01/11/2076	665146
Pedro	30/11/2076	01/12/2076	851064
Pedro	31/12/2076	01/01/2077	903794
Pedro	31/01/2077	01/02/2077	303502
Pedro	28/02/2077	01/03/2077	116328
Pedro	31/03/2077	01/04/2077	789780
Pedro	30/04/2077	01/05/2077	305616
